ExpenditureKey,ParentExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,,
EF0505A,EF05A,ไขมันและน้ำมันอื่น ๆ (ระบุ) (ตัวเงิน),Other fats and oils (specify) (cash),,
EF0505BC,EF05BC,ไขมันและน้ำมันอื่น ๆ (ระบุ) (สิ่งของ),Other fats and oils (specify) (in-kind),,
EF06A,EF_6,6. ผลไม้ และ ถั่วเปลือกแข็ง (ตัวเงิน),6. Fruits and Nuts (cash),,
EF06BC,EF_6,6. ผลไม้ และ ถั่วเปลือกแข็ง (สิ่งของ),6. Fruits and Nuts (in-kind),,
EF0601A,EF06A,กล้วยน้ำว้า (ตัวเงิน),“Namwa” banana (cash),,
EF0601BC,EF06BC,กล้วยน้ำว้า (สิ่งของ),“Namwa” banana (in-kind),,
EF0602A,EF06A,กล้วยหอม (ตัวเงิน),Big banana (cash),,
EF0602BC,EF06BC,กล้วยหอม (สิ่งของ),Big banana (in-kind),,
EF0603A,EF06A,กล้วยอื่น ๆ (ตัวเงิน),Banana (cash),,
EF0603BC,EF06BC,กล้วยอื่น ๆ (สิ่งของ),Banana (in-kind),,
EF0604A,EF06A,ส้มทุกชนิด (ยกเว้นส้มโอ) (ตัวเงิน),All types of orange (except pomelo) (cash),,
EF0604BC,EF06BC,ส้มทุกชนิด (ยกเว้นส้มโอ) (สิ่งของ),All types of orange (except pomelo) (in-kind),,
EF0605A,EF06A,มะละกอสุก (ตัวเงิน),Papaya (cash),,
EF0605BC,EF06BC,มะละกอสุก (สิ่งของ),Papaya (in-kind),,
EF0606A,EF06A,สับปะรด (ตัวเงิน),Pineapple (cash),,
EF0606BC,EF06BC,สับปะรด (สิ่งของ),Pineapple (in-kind),,
EF0607A,EF06A,เงาะ (ตัวเงิน),Rambutan (cash),,
EF0607BC,EF06BC,เงาะ (สิ่งของ),Rambutan (in-kind),,
EF0608A,EF06A,มะม่วง (ตัวเงิน),Mango (cash),,
EF0608BC,EF06BC,มะม่วง (สิ่งของ),Mango (in-kind),,
EF0609A,EF06A,แตงโม (ตัวเงิน),Watermelon (cash),,
EF0609BC,EF06BC,แตงโม (สิ่งของ),Watermelon (in-kind),,
EF0610A,EF06A,ทุเรียน (ตัวเงิน),Durian (cash),,
EF0610BC,EF06BC,ทุเรียน (สิ่งของ),Durian (in-kind),,
EF0611A,EF06A,องุ่น (ตัวเงิน),Grape (cash),,
EF0611BC,EF06BC,องุ่น (สิ่งของ),Grape (in-kind),,
EF0612A,EF06A,แอปเปิ้ล (ตัวเงิน),Apple (cash),,
EF0612BC,EF06BC,แอปเปิ้ล (สิ่งของ),Apple (in-kind),,
EF0613A,EF06A,ฝรั่ง (ตัวเงิน),Guava (cash),,
EF0613BC,EF06BC,ฝรั่ง (สิ่งของ),Guava (in-kind),,
EF0614A,EF06A,ชมพู่ (ตัวเงิน),Rose apple (cash),,
EF0614BC,EF06BC,ชมพู่ (สิ่งของ),Rose apple (in-kind),,
EF0615A,EF06A,ลำไย (ตัวเงิน),Longan (cash),,
EF0615BC,EF06BC,ลำไย (สิ่งของ),Longan (in-kind),,
EF0616A,EF06A,มังคุด (ตัวเงิน),Mangosteen (cash),,
EF0616BC,EF06BC,มังคุด (สิ่งของ),Mangosteen (in-kind),,
EF0617A,EF06A,ลองกอง (ตัวเงิน),Lonkong (cash),,
EF0617BC,EF06BC,ลองกอง (สิ่งของ),Lonkong (in-kind),,
EF0618A,EF06A,แก้วมังกร (ตัวเงิน),Dragon fruit (cash),,
EF0618BC,EF06BC,แก้วมังกร (สิ่งของ),Dragon fruit (in-kind),,
EF0619A,EF06A,มะพร้าวอ่อน/เผา (ตัวเงิน),Young coconut / coconut (cash),,
EF0619BC,EF06BC,มะพร้าวอ่อน/เผา (สิ่งของ),Young coconut / coconut (in-kind),,
EF0620A,EF06A,ผลไม้ (สด) อื่น ๆ (ระบุ) (ตัวเงิน),Other (fresh) fruits (specify) (cash),,
EF0620BC,EF06BC,ผลไม้ (สด) อื่น ๆ (ระบุ) (สิ่งของ),Other (fresh) fruits (specify) (in-kind),,
EF0621A,EF06A,ผลไม้แช่อิ่ม/ดอง/กวน/ตากแห้ง (ตัวเงิน),Pickled / preserved / jam / dried fruits (cash),,
EF0621BC,EF06BC,ผลไม้แช่อิ่ม/ดอง/กวน/ตากแห้ง (สิ่งของ),Pickled / preserved / jam / dried fruits (in-kind),,
EF0622A,EF06A,ผลไม้กระป๋อง (ตัวเงิน),Canned fruits (cash),,
EF0622BC,EF06BC,ผลไม้กระป๋อง (สิ่งของ),Canned fruits (in-kind),,
EF0623A,EF06A,ถั่วลิสง (ตัวเงิน),Peanut (cash),,
EF0623BC,EF06BC,ถั่วลิสง (สิ่งของ),Peanut (in-kind),,
EF0624A,EF06A,ผลไม้แปรรูปอื่น ๆ (ระบุ) (ตัวเงิน),Other processed fruits (specify) (cash),,
EF0624BC,EF06BC,ผลไม้แปรรูปอื่น ๆ (ระบุ) (สิ่งของ),Other processed fruits (specify) (in-kind),,
EF0625A,EF06A,ถั่วอื่น ๆ (ระบุ) (ตัวเงิน),Other nuts (specify) (cash),,
EF0625BC,EF06BC,ถั่วอื่น ๆ (ระบุ) (สิ่งของ),Other nuts (specify) (in-kind),,
EF07A,EF_7,7. ผัก (ตัวเงิน),7. Vegetables (cash),,
EF07BC,EF_7,7. ผัก (สิ่งของ),7. Vegetables (in-kind),,
EF0701A,EF07A,กะหล่ำปลี (ตัวเงิน),Cabbage (cash),,
EF0701BC,EF07BC,กะหล่ำปลี (สิ่งของ),Cabbage (in-kind),,
EF0702A,EF07A,ดอกกะหล่ำ (ตัวเงิน),Cauliflower (cash),,
EF0702BC,EF07BC,ดอกกะหล่ำ (สิ่งของ),Cauliflower (in-kind),,
EF0703A,EF07A,ผักกวางตุ้ง (ตัวเงิน),Choy (cash),,
EF0703BC,EF07BC,ผักกวางตุ้ง (สิ่งของ),Choy (in-kind),,
EF0704A,EF07A,ผักกะเฉด (ตัวเงิน),Mimosa (cash),,
EF0704BC,EF07BC,ผักกะเฉด (สิ่งของ),Mimosa (in-kind),,
EF0705A,EF07A,แตงกวา (ตัวเงิน),Cucumber (cash),,
EF0705BC,EF07BC,แตงกวา (สิ่งของ),Cucumber (in-kind),,
EF0706A,EF07A,ผักกาดขาว  ผักกาดเขียว (ตัวเงิน),"Chinese cabbage, mustard green (cash)",,
EF0706BC,EF07BC,ผักกาดขาว  ผักกาดเขียว (สิ่งของ),"Chinese cabbage, mustard green (in-kind)",,
EF0707A,EF07A,ผักกาดหอม (ตัวเงิน),Lettuce (cash),,
EF0707BC,EF07BC,ผักกาดหอม (สิ่งของ),Lettuce (in-kind),,
EF0708A,EF07A,ผักคะน้า (ตัวเงิน),Chinese kale (cash),,
EF0708BC,EF07BC,ผักคะน้า (สิ่งของ),Chinese kale (in-kind),,
EF0709A,EF07A,เห็ดสดต่าง ๆ (ตัวเงิน),Mushroom (cash),,
EF0709BC,EF07BC,เห็ดสดต่าง ๆ (สิ่งของ),Mushroom (in-kind),,
EF0710A,EF07A,ผักบุ้ง (ตัวเงิน),Swamp morning glory (cash),,
EF0710BC,EF07BC,ผักบุ้ง (สิ่งของ),Swamp morning glory (in-kind),,
